iter	RMSE
0	14.60157659
1	14.21502156
2	13.83089477
3	13.46807028
4	13.11632858
5	12.79465268
6	12.47278313
7	12.16193998
8	11.87015192
9	11.60192105
10	11.34603831
11	11.09499003
12	10.86388991
13	10.6445694
14	10.43269453
15	10.23206918
16	10.0394092
17	9.860617576
18	9.683925464
19	9.51695088
20	9.361645152
21	9.205331145
22	9.06491029
23	8.934733078
24	8.806534243
25	8.687212248
26	8.585432754
27	8.4754531
28	8.378746321
29	8.280538304
30	8.183212664
31	8.097355784
32	8.014003353
33	7.934575946
34	7.859339117
35	7.788836894
36	7.730988217
37	7.667783937
38	7.612330986
39	7.561366273
40	7.509574245
41	7.463519595
42	7.415786133
43	7.369432656
44	7.331780459
45	7.296653892
46	7.255982501
47	7.223072111
48	7.191719959
49	7.158627467
50	7.132881571
51	7.107216967
52	7.085112016
53	7.057781992
54	7.03467259
55	7.014032676
56	6.99412045
57	6.977577819
58	6.95698306
59	6.943923747
60	6.927623398
61	6.912484313
62	6.900908013
63	6.886572121
64	6.875014638
65	6.864641659
66	6.852480125
67	6.840107099
68	6.828647335
69	6.816049473
70	6.807850213
71	6.795087957
72	6.786514691
73	6.777625722
74	6.773343978
75	6.765416138
76	6.758558235
77	6.75202913
78	6.744206153
79	6.735416669
80	6.727433682
81	6.721127862
82	6.712068279
83	6.706183033
84	6.700400183
85	6.694945306
86	6.691546158
87	6.686188997
88	6.679336025
89	6.673217764
90	6.667764747
91	6.664161614
92	6.659937281
93	6.654137969
94	6.648520717
95	6.642474248
96	6.635952772
97	6.632858761
98	6.630046722
99	6.622841905
100	6.618150167
101	6.613252901
102	6.607441327
103	6.601573081
104	6.596092918
105	6.592183645
106	6.587438563
107	6.585307977
108	6.581046158
109	6.574586991
110	6.568614941
111	6.566223385
112	6.561813874
113	6.557875714
114	6.554648764
115	6.551241626
116	6.547528299
117	6.545823845
118	6.540837256
119	6.534659175
120	6.531194267
121	6.526947356
122	6.524233862
123	6.521906326
124	6.518827083
125	6.516057767
126	6.513366564
127	6.510550804
128	6.50644803
129	6.503762305
130	6.500709862
131	6.499608795
132	6.498839537
133	6.496328214
134	6.494496084
135	6.491566551
136	6.488029819
137	6.485074675
138	6.48085787
139	6.47867988
